Gene	"Gene description"	Evidence	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"TAU score - Brain"	"Single Cell Type RNA - Astrocytes [nTPM]"	"Single Cell Type RNA - dendritic cells [nTPM]"	"Single Cell Type RNA - Excitatory neurons [nTPM]"	"Single Cell Type RNA - Inhibitory neurons [nTPM]"	"Single Cell Type RNA - Microglial cells [nTPM]"	"Single Cell Type RNA - Oligodendrocyte precursor cells [nTPM]"	"Single Cell Type RNA - Oligodendrocytes [nTPM]"	"Single Cell Type RNA - Schwann cells [nTPM]"
PHF14	"PHD finger protein 14"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.03	133.8	58.3	216.2	249.5	110.9	247.1	187.0	59.1
PHF2	"PHD finger protein 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enriched"	"Detected in many"	8	"Late spermatids: 606.4"	"Low region specificity"	"Detected in all"			0.07	13.0	7.7	11.5	15.3	11.6	18.9	26.8	10.3
PHF20	"PHD finger protein 20"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 468.1;Late spermatids: 699.1;monocytes: 400.9"	"Low region specificity"	"Detected in all"			0.07	26.9	157.9	48.1	47.4	59.9	32.1	51.4	105.3
PHF20L1	"PHD finger protein 20 like 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.07	70.6	72.4	129.5	184.2	79.6	98.1	109.4	54.2
PHF21A	"PHD finger protein 21A"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"Astrocytes: 163.5;Excitatory neurons: 165.3;Inhibitory neurons: 134.1;Microglial cells: 132.4;Oligodendrocyte precursor cells: 234.9;Oligodendrocytes: 215.3"	"Low region specificity"	"Detected in all"			0.08	163.5	16.5	165.3	134.1	132.4	234.9	215.3	17.6
PHF21B	"PHD finger protein 21B"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"cervix: 8.7;pituitary gland: 18.4"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 91.7;Late spermatids: 44.1;Oligodendrocyte precursor cells: 27.4;Rod photoreceptor cells: 27.7"	"Low region specificity"	"Detected in all"			0.12	91.7	0.0	0.9	8.8	5.4	27.4	8.6	0.5
PHF23	"PHD finger protein 23"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.10	1.9	48.6	3.5	2.7	4.5	3.3	2.3	23.6
PHF3	"PHD finger protein 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.10	72.1	87.3	68.7	77.1	67.1	72.2	120.8	74.3
PHF5A	"PHD finger protein 5A"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.11	2.2	35.8	3.4	3.5	2.7	5.2	7.6	15.5
PHF6	"PHD finger protein 6"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Granulosa cells: 101.6"	"Low region specificity"	"Detected in all"			0.08	12.4	26.6	26.9	22.4	27.7	31.1	43.5	28.2
PHF7	"PHD finger protein 7"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	214	"testis: 1181.3"	"Group enriched"	"Detected in many"	4	"Early spermatids: 2209.2;Late spermatids: 8462.1"	"Low region specificity"	"Detected in all"			0.14	14.9	7.8	10.6	12.0	1.8	5.2	15.1	2.0
PHF8	"PHD finger protein 8"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 61.2;Spermatocytes: 59.7;Spermatogonia: 56.6"	"Low region specificity"	"Detected in all"			0.17	16.4	15.9	19.0	21.1	19.7	25.5	27.9	8.2
PHGDH	"Phosphoglycerate dehydrogenase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Mesothelial cells: 291.0;Prostatic glandular cells: 159.9;Serous glandular cells: 214.6"	"Low region specificity"	"Detected in all"			0.11	30.0	1.8	0.3	0.5	2.7	13.2	30.1	19.0
PHGR1	"Proline, histidine and glycine rich 1"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	14	"intestine: 2471.6"	"Cell type enhanced"	"Detected in some"		"Distal enterocytes: 66526.7;Enteroendocrine cells: 8087.3;Intestinal goblet cells: 12406.1;Paneth cells: 19242.8;Proximal enterocytes: 47949.6"	"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHIP	"Pleckstrin homology domain interacting protein"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.15	172.5	97.8	163.2	188.0	147.6	144.8	322.1	58.2
PHKA1	"Phosphorylase kinase regulatory subunit alpha 1"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"parathyroid gland: 30.9;skeletal muscle: 99.0;tongue: 85.8"	"Cell type enriched"	"Detected in many"	4	"Astrocytes: 80.8"	"Low region specificity"	"Detected in all"			0.21	80.8	0.0	5.1	15.3	6.3	17.5	0.5	0.8
PHKA2	"Phosphorylase kinase regulatory subunit alpha 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Hepatocytes: 41.1"	"Low region specificity"	"Detected in all"			0.05	26.3	1.6	14.7	19.1	12.5	15.6	15.8	4.2
PHKB	"Phosphorylase kinase regulatory subunit beta"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 126.4"	"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.09	63.5	38.0	106.0	142.7	99.3	125.0	110.2	25.1
PHKG2	"Phosphorylase kinase catalytic subunit gamma 2"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	4	"testis: 126.5"	"Cell type enriched"	"Detected in all"	4	"Late spermatids: 1535.5"	"Low region specificity"	"Detected in all"			0.05	13.0	21.1	14.2	13.9	10.7	8.5	7.5	8.3
PHLDA1	"Pleckstrin homology like domain family A member 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"salivary gland: 154.5"	"Cell type enhanced"	"Detected in many"		"Basal squamous epithelial cells: 336.6;Lymphatic endothelial cells: 270.4;Melanocytes: 276.6"	"Low region specificity"	"Detected in all"			0.17	6.8	10.1	7.6	14.0	8.1	133.5	2.5	33.4
PHLDA2	"Pleckstrin homology like domain family A member 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 41.4;placenta: 76.9"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 4565.5;Extravillous trophoblasts: 2444.5;Syncytiotrophoblasts: 10058.3"	"Low region specificity"	"Detected in many"			0.44	0.9	1.2	2.1	1.0	1.8	0.0	0.4	41.2
PHLDB1	"Pleckstrin homology like domain family B member 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Endometrial stromal cells: 83.6;Late spermatids: 111.4;Oligodendrocytes: 227.6"	"Low region specificity"	"Detected in all"			0.15	50.5	1.6	3.9	7.9	22.4	63.2	227.6	60.4
PHLDB2	"Pleckstrin homology like domain family B member 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 116.3;Basal keratinocytes: 164.5;Cardiomyocytes: 148.5;Mucus glandular cells: 113.6"	"Low region specificity"	"Detected in all"			0.32	2.5	0.4	49.8	9.1	37.6	4.2	1.7	19.3
PHLDB3	"Pleckstrin homology like domain family B member 3"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 40.8;skin 1: 42.1"	"Cell type enhanced"	"Detected in many"		"Langerhans cells: 41.0;Squamous epithelial cells: 38.7;Suprabasal keratinocytes: 38.5;Syncytiotrophoblasts: 62.1"	"Low region specificity"	"Detected in all"			0.14	2.5	10.5	4.9	6.7	10.7	3.8	1.8	10.5
PHLPP2	"PH domain and leucine rich repeat protein phosphatase 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"intestine: 21.3;retina: 31.1"	"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 54.4;Distal enterocytes: 52.3;Excitatory neurons: 67.2;Proximal enterocytes: 63.3;Rod photoreceptor cells: 77.3"	"Low region specificity"	"Detected in all"			0.08	24.8	16.6	67.2	43.9	9.8	28.8	30.5	7.0
PHOSPHO1	"Phosphoethanolamine/phosphocholine phosphatase 1"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"testis: 100.1"	"Cell type enriched"	"Detected in some"	5	"Late spermatids: 1452.3"	"Low region specificity"	"Detected in all"			0.14	0.0	0.0	0.7	1.3	0.9	0.0	0.0	0.0
PHOSPHO2	"Phosphatase, orphan 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 212.1;Spermatocytes: 60.6"	"Low region specificity"	"Detected in all"			0.16	0.0	2.0	0.0	0.0	0.0	0.0	0.0	7.1
PHOX2A	"Paired like homeobox 2A"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	8	"adrenal gland: 19.3"	"Cell type enriched"	"Detected in single"	4	"Spermatogonia: 3.4"	"Region enriched"	"Detected in some"	9	"pons: 38.8"	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHOX2B	"Paired like homeobox 2B"	"Evidence at protein level"	"Group enriched"	"Detected in some"	12	"adrenal gland: 8.4;intestine: 2.3"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	41	"medulla oblongata: 21.8;pons: 32.7"	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5
PHPT1	"Phosphohistidine phosphatase 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 938.9"	"Low region specificity"	"Detected in all"			0.07	23.5	142.9	7.8	12.0	5.4	9.9	23.3	126.4
PHTF1	"Putative homeodomain transcription factor 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 226.1;Excitatory neurons: 90.2;Inhibitory neurons: 98.4;Late spermatids: 125.7;Spermatocytes: 121.7"	"Low region specificity"	"Detected in all"			0.25	32.5	18.4	90.2	98.4	20.6	23.6	12.7	15.9
PHTF2	"Putative homeodomain transcription factor 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 107.2;tongue: 52.1"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 105.4;Inhibitory neurons: 90.7;monocytes: 112.7;Oligodendrocytes: 134.4"	"Low region specificity"	"Detected in all"			0.12	30.0	11.5	105.4	90.7	45.6	85.8	134.4	10.7
PHYHD1	"Phytanoyl-CoA dioxygenase domain containing 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Distal tubular cells: 98.3;Muller glia cells: 132.6;Proximal tubular cells: 152.3"	"Low region specificity"	"Detected in all"			0.10	48.9	5.6	1.2	0.7	5.4	0.9	0.6	17.7
PHYHIP	"Phytanoyl-CoA 2-hydroxylase interacting protein"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	6	"brain: 336.8"	"Cell type enhanced"	"Detected in many"		"Basal squamous epithelial cells: 16.8;Excitatory neurons: 46.9;Inhibitory neurons: 14.7;Mesothelial cells: 33.6;Smooth muscle cells: 14.8"	"Low region specificity"	"Detected in all"			0.17	6.8	0.0	46.9	14.7	5.4	7.1	5.4	0.9
PHYHIPL	"Phytanoyl-CoA 2-hydroxylase interacting protein like"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adrenal gland: 17.9;brain: 53.2;retina: 29.5"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 199.7;Early spermatids: 221.3;Inhibitory neurons: 162.7;Late spermatids: 243.3;Muller glia cells: 215.1;Oligodendrocyte precursor cells: 248.6;Oligodendrocytes: 332.3"	"Low region specificity"	"Detected in all"			0.11	199.7	0.0	94.0	162.7	10.7	248.6	332.3	22.4
PHYKPL	"5-phosphohydroxy-L-lysine phospho-lyase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.09	30.0	94.4	20.0	17.1	34.9	27.4	42.1	33.3
PI15	"Peptidase inhibitor 15"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 52.9;prostate: 30.0;smooth muscle: 48.0"	"Cell type enhanced"	"Detected in some"		"Breast glandular cells: 54.0;Breast myoepithelial cells: 11.6;Endometrial stromal cells: 8.4;Prostatic glandular cells: 32.6;Smooth muscle cells: 16.5"	"Low region specificity"	"Detected in many"			0.38	2.2	0.0	4.2	3.4	0.9	0.5	1.8	0.0
PI3	"Peptidase inhibitor 3"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"esophagus: 2191.5;lymphoid tissue: 2040.9;vagina: 1548.4"	"Group enriched"	"Detected in many"	6	"Basal respiratory cells: 6262.1;Ionocytes: 3011.8"	"Group enriched"	"Detected in some"	12	"cerebral cortex: 24.5;pons: 14.5;thalamus: 39.8"	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PI4K2A	"Phosphatidylinositol 4-kinase type 2 alpha"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.09	9.3	7.1	10.6	10.4	11.6	5.2	5.6	6.3
PI4K2B	"Phosphatidylinositol 4-kinase type 2 beta"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 56.1"	"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.19	20.4	8.5	8.4	13.2	10.7	28.3	18.7	5.8
PI4KA	"Phosphatidylinositol 4-kinase alpha"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 102.6"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 202.1;Inhibitory neurons: 122.1"	"Low region specificity"	"Detected in all"			0.13	62.2	42.4	202.1	122.1	37.6	47.2	82.3	19.1
PI4KB	"Phosphatidylinositol 4-kinase beta"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.04	18.3	19.8	17.2	18.2	15.2	17.0	24.0	20.3
PIANP	"PILR alpha associated neural protein"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	7	"brain: 142.8"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 14.0;Excitatory neurons: 23.6;Horizontal cells: 27.1;Inhibitory neurons: 22.9;Oligodendrocyte precursor cells: 15.1;Peritubular cells: 13.9"	"Low region specificity"	"Detected in all"			0.13	3.4	0.0	23.6	22.9	3.6	15.1	2.8	0.0
PIAS1	"Protein inhibitor of activated STAT 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Microglial cells: 237.1;Oocytes: 250.7"	"Low region specificity"	"Detected in all"			0.11	101.3	79.5	160.2	130.7	237.1	112.7	117.5	34.9
PIAS2	"Protein inhibitor of activated STAT 2"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	4	"testis: 65.3"	"Cell type enhanced"	"Detected in all"		"Early spermatids: 486.3;Late spermatids: 556.7;Spermatocytes: 207.8"	"Low region specificity"	"Detected in all"			0.11	57.3	35.7	133.2	129.2	69.8	125.5	87.5	18.0
PIAS3	"Protein inhibitor of activated STAT 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.06	8.1	10.7	4.1	3.8	7.2	6.1	6.9	7.9
PIAS4	"Protein inhibitor of activated STAT 4"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 104.4;Late spermatids: 254.1"	"Low region specificity"	"Detected in all"			0.14	14.2	10.4	7.0	5.5	2.7	6.1	16.8	11.9
PIBF1	"Progesterone immunomodulatory binding factor 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 359.5;Oligodendrocyte precursor cells: 134.9;Oligodendrocytes: 129.0"	"Low region specificity"	"Detected in all"			0.17	96.0	12.5	111.2	114.3	88.6	134.9	129.0	7.4
PICALM	"Phosphatidylinositol binding clathrin assembly protein"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Microglial cells: 477.7;Oligodendrocytes: 660.1"	"Low region specificity"	"Detected in all"			0.07	127.6	30.5	139.8	134.8	477.7	176.4	660.1	67.9
PICK1	"Protein interacting with PRKCA 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 88.6;Late spermatids: 106.5"	"Low region specificity"	"Detected in all"			0.15	10.5	5.7	25.9	18.6	6.3	8.0	27.1	12.6
PID1	"Phosphotyrosine interaction domain containing 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 116.8;Hepatocytes: 129.3;Inhibitory neurons: 135.5;Langerhans cells: 262.1;Microglial cells: 171.8;Oligodendrocyte precursor cells: 509.9"	"Low region specificity"	"Detected in all"			0.16	51.1	1.6	116.8	135.5	171.8	509.9	3.3	0.4
PIDD1	"P53-induced death domain protein 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.27	24.5	4.8	12.3	13.6	7.2	6.1	25.0	7.1
PIERCE1	"Piercer of microtubule wall 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 59.4;fallopian tube: 94.0;testis: 60.7"	"Group enriched"	"Detected in many"	4	"Ciliated cells: 545.9;Early spermatids: 539.5;Late spermatids: 576.4"	"Low region specificity"	"Detected in all"			0.26	2.2	0.0	2.1	2.1	0.0	0.9	0.2	1.0
PIERCE2	"Piercer of microtubule wall 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Ciliated cells: 52.6;Early spermatids: 192.1;Late spermatids: 36.1"	"Low region specificity"	"Detected in all"			0.34	4.3	0.0	3.9	2.5	0.9	0.9	0.8	1.6
PIEZO2	"Piezo type mechanosensitive ion channel component 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 6.2"	"Cell type enriched"	"Detected in some"	4	"Oligodendrocytes: 371.9"	"Low region specificity"	"Detected in all"			0.30	1.9	0.0	2.4	35.3	8.9	1.9	371.9	5.7
PIF1	"PIF1 5'-to-3' DNA helicase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 4.7"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 17.7;Erythroid cells: 11.1;NK-cells: 11.4;Plasma cells: 17.9"	"Low region specificity"	"Detected in some"			0.46	3.4	2.2	2.5	0.9	1.8	3.3	0.1	0.3
PIFO	"Primary cilia formation"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"choroid plexus: 137.9;fallopian tube: 168.5"	"Group enriched"	"Detected in many"	4	"Ciliated cells: 719.3;Early spermatids: 375.7;Ionocytes: 205.4;Late spermatids: 519.0"	"Region enhanced"	"Detected in all"		"choroid plexus: 65.6"	0.42	3.1	0.0	0.5	1.3	0.0	0.5	0.6	0.2
PIGB	"Phosphatidylinositol glycan anchor biosynthesis class B"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 33.1"	"Low region specificity"	"Detected in all"			0.11	16.7	5.2	17.7	16.9	11.6	16.0	13.6	3.4
PIGL	"Phosphatidylinositol glycan anchor biosynthesis class L"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 45.1;Inhibitory neurons: 43.4"	"Low region specificity"	"Detected in all"			0.10	18.3	8.2	45.1	43.4	25.0	23.1	32.5	9.7
PIGN	"Phosphatidylinositol glycan anchor biosynthesis class N"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Oligodendrocytes: 114.7"	"Low region specificity"	"Detected in all"			0.05	49.9	26.5	52.6	39.6	42.0	54.2	114.7	4.1
PIGO	"Phosphatidylinositol glycan anchor biosynthesis class O"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.19	4.3	7.0	1.6	1.8	2.7	1.4	3.6	5.8
PIGP	"Phosphatidylinositol glycan anchor biosynthesis class P"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Spermatocytes: 370.9"	"Low region specificity"	"Detected in all"			0.09	9.3	27.7	6.7	8.3	2.7	7.1	17.0	58.0
PIGQ	"Phosphatidylinositol glycan anchor biosynthesis class Q"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Late spermatids: 58.5"	"Low region specificity"	"Detected in all"			0.06	13.3	7.4	18.7	13.2	3.6	7.1	6.1	11.1
PIGU	"Phosphatidylinositol glycan anchor biosynthesis class U"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Oligodendrocytes: 73.0"	"Low region specificity"	"Detected in all"			0.15	25.4	5.6	29.4	37.4	16.1	43.4	73.0	17.1
PIGV	"Phosphatidylinositol glycan anchor biosynthesis class V"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 51.5;Late spermatids: 96.2;Spermatocytes: 73.2"	"Low region specificity"	"Detected in all"			0.05	7.1	2.6	2.7	3.0	2.7	0.0	5.1	3.2
PIGW	"Phosphatidylinositol glycan anchor biosynthesis class W"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 19.5"	"Low region specificity"	"Detected in all"			0.14	1.5	6.0	1.9	2.5	0.0	1.4	2.3	2.2
PIGX	"Phosphatidylinositol glycan anchor biosynthesis class X"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.10	13.0	35.4	17.1	22.7	15.2	11.3	13.5	28.2
PIH1D1	"PIH1 domain containing 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.04	10.2	34.3	10.1	8.2	10.7	9.4	10.2	26.6
PIH1D2	"PIH1 domain containing 2"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"testis: 64.5"	"Cell type enhanced"	"Detected in many"		"Ciliated cells: 80.7;Early spermatids: 461.0;Late spermatids: 191.2;Spermatocytes: 185.7"	"Low region specificity"	"Detected in all"			0.46	9.6	0.0	4.9	5.5	1.8	3.8	3.6	0.3
PIK3AP1	"Phosphoinositide-3-kinase adaptor protein 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 80.7;lymphoid tissue: 60.6;salivary gland: 71.6"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 63.9;Hofbauer cells: 62.8;Kupffer cells: 138.7;Macrophages: 95.5;Microglial cells: 58.2;monocytes: 136.4;Serous glandular cells: 68.9"	"Low region specificity"	"Detected in all"			0.22	1.2	53.9	0.8	0.7	58.2	0.9	0.3	5.8
PIK3C2A	"Phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 206.2"	"Low region specificity"	"Detected in all"			0.09	206.2	25.8	55.0	77.6	66.2	59.0	73.9	33.1
PIK3C2B	"Phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Oligodendrocytes: 103.8"	"Low region specificity"	"Detected in all"			0.15	15.2	0.4	13.8	21.8	25.9	22.2	103.8	6.2
PIK3C2G	"Phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"epididymis: 16.3;stomach 1: 21.1"	"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 83.0;Basal squamous epithelial cells: 35.7;Breast glandular cells: 34.2;Breast myoepithelial cells: 43.4;Gastric mucus-secreting cells: 138.0;Serous glandular cells: 44.1"	"Low region specificity"	"Detected in all"			0.16	1.2	0.0	2.8	1.8	7.2	1.4	1.3	0.0
PIK3CA	"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 122.4;Inhibitory neurons: 117.0;Oligodendrocyte precursor cells: 122.2"	"Low region specificity"	"Detected in all"			0.13	57.6	9.1	122.4	117.0	72.5	122.2	78.4	23.4
PIK3CB	"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 93.2;Inhibitory neurons: 88.6;Oligodendrocytes: 82.1"	"Low region specificity"	"Detected in all"			0.11	38.1	5.2	93.2	88.6	35.8	45.3	82.1	21.4
PIK3CD	"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"bone marrow: 46.2;intestine: 11.7;lymphoid tissue: 44.1"	"Cell type enhanced"	"Detected in many"		"B-cells: 23.9;dendritic cells: 34.2;Kupffer cells: 26.0;Macrophages: 22.9;Microglial cells: 27.7;NK-cells: 28.4;T-cells: 35.2"	"Low region specificity"	"Detected in all"			0.16	1.9	34.2	6.5	12.8	27.7	0.9	1.0	2.0
PIK3CG	"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"bone marrow: 43.1;lymphoid tissue: 19.1"	"Cell type enhanced"	"Detected in many"		"B-cells: 31.8;dendritic cells: 118.4;Macrophages: 37.3;monocytes: 85.0;NK-cells: 36.0;Plasma cells: 84.3"	"Low region specificity"	"Detected in all"			0.31	0.3	118.4	5.3	0.3	14.3	0.0	0.2	5.3
PIK3R1	"Phosphoinositide-3-kinase regulatory subunit 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 390.4;Endometrial stromal cells: 487.1;NK-cells: 599.2;T-cells: 375.6"	"Low region specificity"	"Detected in all"			0.11	106.5	53.6	225.2	79.2	111.8	264.1	186.0	345.1
